ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
1,jNATKR770KQ,https://www.youtube.com/watch?v=jNATKR770KQ,"Uso do GPS na Fruticultura #roça #fruticultura","O Extensionista",auto,pt,"downloads/oextensionista/#001 - Uso do GPS na Fruticultura #roça #fruticultura {O Extensionista}.txt"
2,dAqAiehoPTw,https://www.youtube.com/watch?v=dAqAiehoPTw,"Os diferentes tipos de solos no Brasil e o impacto na Fruticultura","O Extensionista",auto,pt,"downloads/oextensionista/#002 - Os diferentes tipos de solos no Brasil e o impacto na Fruticultura {O Extensionista}.txt"
3,bJst-HXeAfI,https://www.youtube.com/watch?v=bJst-HXeAfI,"✂️🍇 Poda mista na videira em 1 minuto!","O Extensionista",auto,pt,"downloads/oextensionista/#003 - ✂️🍇 Poda mista na videira em 1 minuto! {O Extensionista}.txt"
4,kBAcs32x3-E,https://www.youtube.com/watch?v=kBAcs32x3-E,"𝙋𝙤𝙙𝙖 𝙙𝙚 𝙑𝙞𝙙𝙚𝙞𝙧𝙖 🌱","O Extensionista",auto,pt,"downloads/oextensionista/#004 - 𝙋𝙤𝙙𝙖 𝙙𝙚 𝙑𝙞𝙙𝙚𝙞𝙧𝙖 🌱 {O Extensionista}.txt"
5,l_9INXW4tks,https://www.youtube.com/watch?v=l_9INXW4tks,"📍 Geoprocessamento Aplicado na Fruticultura 🌱 Prof. Alessandro Miola","O Extensionista",auto,pt,"downloads/oextensionista/#005 - 📍 Geoprocessamento Aplicado na Fruticultura 🌱 Prof. Alessandro Miola {O Extensionista}.txt"
6,EJ0jA40Iz3c,https://www.youtube.com/watch?v=EJ0jA40Iz3c,"Vivência na Propriedade Horizonte em Alegrete, RS #fruticultura #sistematização #conhecimento","O Extensionista",auto,pt,"downloads/oextensionista/#006 - Vivência na Propriedade Horizonte em Alegrete, RS #fruticultura #sistematização #conhecimento {O Extensionista}.txt"
7,RASpK_wo2xQ,https://www.youtube.com/watch?v=RASpK_wo2xQ,"Caminhando com os Quilombolas: história e ancestralidade","O Extensionista",auto,pt,"downloads/oextensionista/#007 - Caminhando com os Quilombolas- história e ancestralidade {O Extensionista}.txt"
8,YN4dNn6qvQc,https://www.youtube.com/watch?v=YN4dNn6qvQc,"Como coletar folhas para análise #fruticultura #folhas #coleta","O Extensionista",auto,pt,"downloads/oextensionista/#008 - Como coletar folhas para análise #fruticultura #folhas #coleta {O Extensionista}.txt"
9,X2xhoNTVrlk,https://www.youtube.com/watch?v=X2xhoNTVrlk,"Virtual 💻 ou Presencial 🤝? O que funciona melhor para Extensionistas Rurais? 👩‍🌾🧑‍🌾🌱","O Extensionista",auto,pt,"downloads/oextensionista/#009 - Virtual 💻 ou Presencial 🤝- O que funciona melhor para Extensionistas Rurais- 👩‍🌾🧑‍🌾🌱 {O Extensionista}.txt"
10,nN7L28HaqTQ,https://www.youtube.com/watch?v=nN7L28HaqTQ,"Deriva na aplicação de defensivos - saiba como evitar? #aplicação #dicarural #produtor #agro","O Extensionista",auto,pt,"downloads/oextensionista/#010 - Deriva na aplicação de defensivos - saiba como evitar- #aplicação #dicarural #produtor #agro {O Extensionista}.txt"
11,8UYQ62_-sD0,https://www.youtube.com/watch?v=8UYQ62_-sD0,"Encontro de Produtores de Noz Pecan em Santa Maria, RS #fruticultura #extensaorural","O Extensionista",auto,pt,"downloads/oextensionista/#011 - Encontro de Produtores de Noz Pecan em Santa Maria, RS #fruticultura #extensaorural {O Extensionista}.txt"
12,JdOhsUm8IYw,https://www.youtube.com/watch?v=JdOhsUm8IYw,"Conheça o tipo de solo para o sistema de rega na Fruticultura","O Extensionista",auto,pt,"downloads/oextensionista/#012 - Conheça o tipo de solo para o sistema de rega na Fruticultura {O Extensionista}.txt"
13,h_UycOVeMb0,https://www.youtube.com/watch?v=h_UycOVeMb0,"Sistematização de Experiências - Começando na Avicultura Colonial para Produção de Ovos #avicultura","O Extensionista",auto,pt,"downloads/oextensionista/#013 - Sistematização de Experiências - Começando na Avicultura Colonial para Produção de Ovos #avicultura {O Extensionista}.txt"
14,nw0ZOYxUIYA,https://www.youtube.com/watch?v=nw0ZOYxUIYA,"III Seminário Nacional de Ensino em Extensão Rural (SNEER) - UFSM, RS","O Extensionista",auto,pt,"downloads/oextensionista/#014 - III Seminário Nacional de Ensino em Extensão Rural (SNEER) - UFSM, RS {O Extensionista}.txt"
15,Xg0GqP-AAAs,https://www.youtube.com/watch?v=Xg0GqP-AAAs,"👉 O Extensionista vai de Bike – por Santa Maria, RS 🚴 #pedal #mtb #bicicleta #bike","O Extensionista",auto,pt,"downloads/oextensionista/#015 - 👉 O Extensionista vai de Bike – por Santa Maria, RS 🚴 #pedal #mtb #bicicleta #bike {O Extensionista}.txt"
16,2bmTTd8Sq1Q,https://www.youtube.com/watch?v=2bmTTd8Sq1Q,"Plano Diretor da Embrapa 2024-2030 - Panorama atual da Agricultura Brasileira","O Extensionista",auto,pt,"downloads/oextensionista/#016 - Plano Diretor da Embrapa 2024-2030 - Panorama atual da Agricultura Brasileira {O Extensionista}.txt"
17,XzQ3JEBsWJ0,https://www.youtube.com/watch?v=XzQ3JEBsWJ0,"Plano Diretor da Embrapa 2024-2030 - Cenário - Parte 1","O Extensionista",auto,pt,"downloads/oextensionista/#017 - Plano Diretor da Embrapa 2024-2030 - Cenário - Parte 1 {O Extensionista}.txt"
18,ZTX5mKTkOQY,https://www.youtube.com/watch?v=ZTX5mKTkOQY,"🤔 O que você está fazendo para que seus filhos não te abandonem na propriedade rural? 🌱","O Extensionista",auto,pt,"downloads/oextensionista/#018 - 🤔 O que você está fazendo para que seus filhos não te abandonem na propriedade rural- 🌱 {O Extensionista}.txt"
