ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
1,XWWEGyi2lwM,https://www.youtube.com/watch?v=XWWEGyi2lwM,"Meu Imóvel Rural ferramenta para autonomia","Carlos Mário Guedes de Guedes - INCRA",auto,pt,"downloads/redeauroraater/#001 - Meu Imóvel Rural ferramenta para autonomia {Carlos Mário Guedes de Guedes - INCRA}.txt"
2,WLsLdgfN5JM,https://www.youtube.com/watch?v=WLsLdgfN5JM,"Extensão universitária para o desenvolvimento de destino de cicloturismo","Clarice Bastarz - UFPR",auto,pt,"downloads/redeauroraater/#002 - Extensão universitária para o desenvolvimento de destino de cicloturismo {Clarice Bastarz - UFPR}.txt"
3,767OxutU0I4,https://www.youtube.com/watch?v=767OxutU0I4,"O uso das redes sociais como ferramenta de aprendizagem junto aos agricultores familiares","Renato Antônio da Silva - Emater/RN",auto,pt,"downloads/redeauroraater/#003 - O uso das redes sociais como ferramenta de aprendizagem junto aos agricultores familiares {Renato Antônio da Silva - Emater-RN}.txt"
4,V2vmGx1j6Ck,https://www.youtube.com/watch?v=V2vmGx1j6Ck,"A experiência de formação em Extensão Rural e Agroecologia","Nina Paula Ferreira Laranjeira - UnB",auto,pt,"downloads/redeauroraater/#004 - A experiência de formação em Extensão Rural e Agroecologia {Nina Paula Ferreira Laranjeira - UnB}.txt"
5,buowq0S7-xE,https://www.youtube.com/watch?v=buowq0S7-xE,"Promovendo a digitalização inclusiva na Amazônia Paraense","Denis Rodrigues de Oliveira",auto,pt,"downloads/redeauroraater/#005 - Promovendo a digitalização inclusiva na Amazônia Paraense {Denis Rodrigues de Oliveira}.txt"
6,p8WNd6rhxno,https://www.youtube.com/watch?v=p8WNd6rhxno,"Ater pública frente à digitalização na agricultura: construção e perspectivas","Alice Alcântara",auto,pt,"downloads/redeauroraater/#006 - Ater pública frente à digitalização na agricultura- construção e perspectivas {Alice Alcântara}.txt"
8,Jz8QTrKGMMI,https://www.youtube.com/watch?v=Jz8QTrKGMMI,"O uso de redes sociais pela agricultura familiar para ampliar a comercialização","Livio Sergio Dias Claudino (Unifesspa) e Graciele dos Prazeres Pustilnik (UFRGS)",auto,pt,"downloads/redeauroraater/#008 - O uso de redes sociais pela agricultura familiar para ampliar a comercialização {Livio Sergio Dias Claudino (Unifesspa) e Graciele dos Prazeres Pustilnik (UFRGS)}.txt"
9,Ooht7sdX5Ts,https://www.youtube.com/watch?v=Ooht7sdX5Ts,"Avaliando os efeitos da Extensão Rural na produtividade em um sistema pluralista","Adauto B. Rocha Junior - Universidade de Missoure",auto,pt,"downloads/redeauroraater/#009 - Avaliando os efeitos da Extensão Rural na produtividade em um sistema pluralista {Adauto B. Rocha Junior - Universidade de Missoure}.txt"
10,ilfn593UOlw,https://www.youtube.com/watch?v=ilfn593UOlw,"Inteligência coletiva na Agricultura: como a IA fortalece a colaboração entre campo e laboratório","Carlos Catalão Alves - Nova FCSH",auto,pt,"downloads/redeauroraater/#010 - Inteligência coletiva na Agricultura- como a IA fortalece a colaboração entre campo e laboratório {Carlos Catalão Alves - Nova FCSH}.txt"
11,avCGvUHjBpc,https://www.youtube.com/watch?v=avCGvUHjBpc,"A linguagem clara como estratégia de extensão rural, em Portugal","Cristina Nobre Soares – Comunicação Clara de Ciência",auto,pt,"downloads/redeauroraater/#011 - A linguagem clara como estratégia de extensão rural, em Portugal {Cristina Nobre Soares – Comunicação Clara de Ciência}.txt"
12,EaI5702vijc,https://www.youtube.com/watch?v=EaI5702vijc,"Desafios da Extensão Rural Contemporânea","Thiago Vasconcelos Melo - UFVJM",auto,pt,"downloads/redeauroraater/#012 - Desafios da Extensão Rural Contemporânea {Thiago Vasconcelos Melo - UFVJM}.txt"
14,KT7qnCzvdnc,https://www.youtube.com/watch?v=KT7qnCzvdnc,"Agricultura urbana: o caso exitoso de Maringá","Ednaldo Michellon – DAG/UEM",auto,pt,"downloads/redeauroraater/#014 - Agricultura urbana- o caso exitoso de Maringá {Ednaldo Michellon – DAG-UEM}.txt"
15,SXdCNI8zBQc,https://www.youtube.com/watch?v=SXdCNI8zBQc,"Transformando a Extensão Rural: Projeto Piloto Epagri e ATER+ Digital","Humberto Bicca Neto (EPAGRI)",auto,pt,"downloads/redeauroraater/#015 - Transformando a Extensão Rural- Projeto Piloto Epagri e ATER+ Digital {Humberto Bicca Neto (EPAGRI)}.txt"
16,uv9GJrGyjrs,https://www.youtube.com/watch?v=uv9GJrGyjrs,"Extensão universitária e sustentabilidade em rede: a experiência do assentamento rural Itamarati","Juliana Carrijo",auto,pt,"downloads/redeauroraater/#016 - Extensão universitária e sustentabilidade em rede- a experiência do assentamento rural Itamarati {Juliana Carrijo}.txt"
17,gvXA0MC-Oyc,https://www.youtube.com/watch?v=gvXA0MC-Oyc,"Construindo caminhos para a criação agroecológica de animais","Juliana Vieira Paz – Yamandú Agroecologia",auto,pt,"downloads/redeauroraater/#017 - Construindo caminhos para a criação agroecológica de animais {Juliana Vieira Paz – Yamandú Agroecologia}.txt"
18,bhRDIRkoLwE,https://www.youtube.com/watch?v=bhRDIRkoLwE,"Plataforma Ater+ Digital: Hubs desenvolvidos pela Embrapa Meio Ambiente","Luciano Lourenço Nass (Embrapa)",auto,pt,"downloads/redeauroraater/#018 - Plataforma Ater+ Digital- Hubs desenvolvidos pela Embrapa Meio Ambiente {Luciano Lourenço Nass (Embrapa)}.txt"
19,3I4kSaD1sNs,https://www.youtube.com/watch?v=3I4kSaD1sNs,"Uso das mídias digitais na ATER","Flavia Maria de Oliveira Ott (EPAGRI), Filipe Espíndola (EPAGRI) e Leandro Correia Ebert (EMATER/RS-Ascar)",auto,pt,"downloads/redeauroraater/#019 - Uso das mídias digitais na ATER {Flavia Maria de Oliveira Ott (EPAGRI), Filipe Espíndola (EPAGRI) e Leandro Correia Ebert (EMATER-RS-Ascar)}.txt"
20,GTeFj6ZTJ7Q,https://www.youtube.com/watch?v=GTeFj6ZTJ7Q,"Desenvolvimento rural em tempos de transformação: desafios e possibilidades","Cidonea Machado Deponti - UNISC",auto,pt,"downloads/redeauroraater/#020 - Desenvolvimento rural em tempos de transformação- desafios e possibilidades {Cidonea Machado Deponti - UNISC}.txt"
21,OrJJhkyK_d4,https://www.youtube.com/watch?v=OrJJhkyK_d4,"PAS Nordeste e as Redes Territoriais de ATER","Jose Humberto Oliveira - IICA",auto,pt,"downloads/redeauroraater/#021 - PAS Nordeste e as Redes Territoriais de ATER {Jose Humberto Oliveira - IICA}.txt"
